2016-Jan-25 01:55:08 INFO  clientLogger:23 - Attempting to connect to 127.0.0.1:3001
@2016-Jan-25 10:22:56 INFO  clientLogger:269 - Player 49245 broadcasted: join fred 127.0.0.1
@2016-Jan-25 10:22:56 INFO  clientLogger:269 - Player 49245 broadcasted: join fred 127.0.0.1
@2016-Jan-25 10:22:56 INFO  clientLogger:214 - Message from server: List of players In the Game you can attack: [ jack joe fred  ]
@2016-Jan-25 10:22:56 INFO  clientLogger:214 - Message from server: List of players In the Game you can attack: [ jack joe fred  ]
@2016-Jan-25 10:22:56 INFO  clientLogger:133 - Message from the server: GAME READY
@2016-Jan-25 10:22:56 INFO  clientLogger:133 - Message from the server: GAME READY
@2016-Jan-25 10:22:56 INFO  clientLogger:269 - Player 49245 broadcasted: join fred 127.0.0.1
@2016-Jan-25 10:22:56 INFO  clientLogger:269 - Server sent: startGame 3 Players 3 rounds
@2016-Jan-25 10:22:56 INFO  clientLogger:214 - Message from server: List of players In the Game you can attack: [ jack joe fred  ]
@2016-Jan-25 10:22:56 INFO  clientLogger:133 - Message from the server: GAME READY
@2016-Jan-25 10:23:19 INFO  clientLogger:137 - client sends this info to the server: select jack joe swing 1 duck 3
@2016-Jan-25 10:23:19 INFO  clientLogger:269 - Player 49239 broadcasted: select jack joe swing 1 duck 3
@2016-Jan-25 10:23:19 INFO  clientLogger:149 - Message from the server: WAITING FOR OTHER PLAYERS SELECT MESSAGES
@2016-Jan-25 10:23:19 INFO  clientLogger:269 - 
@2016-Jan-25 10:23:57 INFO  clientLogger:137 - client sends this info to the server: select fred joe thrust 2 dodge 2
@2016-Jan-25 10:23:57 INFO  clientLogger:269 - Player 49239 broadcasted: select jack joe swing 1 duck 3
@2016-Jan-25 10:23:57 INFO  clientLogger:269 - 
@2016-Jan-25 10:23:57 INFO  clientLogger:269 - Player 49245 broadcasted: select fred joe thrust 2 dodge 2
@2016-Jan-25 10:23:57 INFO  clientLogger:269 - Player 49245 broadcasted: select fred joe thrust 2 dodge 2
@2016-Jan-25 10:23:57 INFO  clientLogger:149 - Message from the server: WAITING FOR OTHER PLAYERS SELECT MESSAGES
@2016-Jan-25 10:23:57 INFO  clientLogger:269 - 
@2016-Jan-25 10:23:57 INFO  clientLogger:269 - 
@2016-Jan-25 10:24:46 INFO  clientLogger:137 - client sends this info to the server: select joe fred smash 2 charge 2
@2016-Jan-25 10:24:46 INFO  clientLogger:269 - Player 49239 broadcasted: select jack joe swing 1 duck 3
@2016-Jan-25 10:24:46 INFO  clientLogger:269 - 
